                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5189,                 3.8955,                 1.7558,                0.00504,                0.85024,                0.09866,                0.05326,                  1.194,                 4.3722,                  1.751,             0.00016675,             0.00016675,             0.00016675
                      2,                 1.3005,                 3.4246,                 1.6225,                0.67412,                0.06076,                0.19117,                0.10813,                 1.2279,                 3.8776,                 1.7957,             0.00033343,             0.00033343,             0.00033343
                      3,                 1.3035,                 3.0093,                 1.6283,                0.27785,                0.27145,                0.22199,                0.13141,                 1.4569,                 3.6437,                 1.9943,             0.00049325,             0.00049325,             0.00049325
                      4,                 1.3578,                 2.8064,                 1.6435,                0.32641,                0.29385,                 0.2764,                0.15622,                 1.5926,                 3.4763,                 2.0806,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.3274,                  2.623,                 1.5718,                0.26489,                0.38101,                0.28856,                 0.1395,                 1.8962,                 3.7145,                 2.4656,             0.00062738,             0.00062738,             0.00062738
                      6,                 1.3892,                 2.5995,                 1.6376,                0.25346,                0.41469,                 0.3276,                0.18846,                 1.4682,                 3.4286,                 2.1019,             0.00061417,             0.00061417,             0.00061417
                      7,                 1.3157,                  2.469,                 1.5695,                0.27735,                0.38103,                0.29376,                 0.1646,                 1.6293,                  3.403,                 2.1367,             0.00060097,             0.00060097,             0.00060097
                      8,                 1.2917,                  2.407,                 1.5638,                 0.2796,                0.49518,                0.36509,                0.20982,                 1.5435,                 3.1486,                 2.0605,             0.00058776,             0.00058776,             0.00058776
                      9,                 1.3371,                 2.4453,                 1.6684,                0.40257,                0.47123,                0.42509,                0.25081,                 1.4905,                 2.9087,                 2.0026,             0.00057455,             0.00057455,             0.00057455
                     10,                 1.2758,                 2.3085,                 1.5452,                0.34214,                0.35062,                0.35519,                0.19458,                 1.5549,                 3.3937,                 2.0982,             0.00056135,             0.00056135,             0.00056135
                     11,                 1.2325,                 2.2743,                 1.4948,                0.55675,                0.35994,                0.42092,                0.26681,                 1.3969,                 3.0382,                 1.9478,             0.00054814,             0.00054814,             0.00054814
                     12,                 1.1665,                 2.1917,                 1.4996,                 0.3447,                0.43478,                0.38458,                0.22513,                 1.5218,                 2.8011,                 2.0573,             0.00053493,             0.00053493,             0.00053493
                     13,                 1.2229,                 2.1945,                 1.5327,                0.43909,                 0.4777,                0.44241,                0.25189,                 1.4606,                 3.0071,                 1.9388,             0.00052173,             0.00052173,             0.00052173
                     14,                 1.2339,                 2.0744,                 1.5366,                0.38307,                0.48507,                0.43447,                0.26939,                 1.4176,                 2.9636,                  1.942,             0.00050852,             0.00050852,             0.00050852
                     15,                  1.165,                 2.1152,                 1.4863,                0.44008,                0.50263,                0.48452,                0.28378,                 1.4408,                 2.6224,                 1.9471,             0.00049531,             0.00049531,             0.00049531
                     16,                  1.166,                 1.9784,                  1.468,                0.48092,                0.50834,                0.48545,                0.30235,                 1.3595,                 2.4951,                 1.8918,             0.00048211,             0.00048211,             0.00048211
                     17,                 1.1012,                 1.9075,                  1.438,                0.51555,                0.55776,                0.55475,                0.35534,                  1.409,                 2.3074,                 1.9029,              0.0004689,              0.0004689,              0.0004689
                     18,                 1.1903,                 1.8985,                 1.4578,                0.50626,                0.57804,                0.53738,                0.30704,                 1.5202,                 2.4494,                 2.0952,             0.00045569,             0.00045569,             0.00045569
                     19,                 1.1918,                 1.9174,                 1.4789,                0.57761,                0.43083,                0.50272,                0.32002,                  1.332,                 2.5198,                 1.8574,             0.00044249,             0.00044249,             0.00044249
                     20,                  1.125,                 1.7967,                 1.4094,                0.55167,                0.50311,                0.53867,                0.31914,                 1.4258,                  2.348,                  1.999,             0.00042928,             0.00042928,             0.00042928
                     21,                  1.087,                  1.782,                 1.3957,                0.55979,                0.54257,                0.56696,                0.36247,                 1.3243,                 2.2237,                 1.8289,             0.00041607,             0.00041607,             0.00041607
                     22,                  1.142,                  1.812,                 1.4614,                0.61245,                0.62116,                0.62655,                0.39446,                 1.3086,                 2.1365,                  1.768,             0.00040287,             0.00040287,             0.00040287
                     23,                 1.1128,                 1.7799,                 1.4291,                  0.499,                0.62482,                0.59704,                0.38156,                 1.3446,                  2.214,                 1.8472,             0.00038966,             0.00038966,             0.00038966
                     24,                  1.066,                 1.7233,                  1.381,                0.53251,                0.60234,                0.61318,                0.38992,                 1.3022,                 2.1816,                 1.8031,             0.00037645,             0.00037645,             0.00037645
                     25,                 1.0866,                 1.7331,                 1.4168,                0.52855,                0.58432,                0.58647,                0.38572,                 1.2692,                 2.0743,                 1.7687,             0.00036325,             0.00036325,             0.00036325
                     26,                 1.0445,                 1.6339,                 1.3499,                0.51366,                0.53472,                0.54557,                0.35263,                 1.3329,                 2.1809,                 1.8173,             0.00035004,             0.00035004,             0.00035004
                     27,                0.98709,                 1.6375,                 1.3314,                0.56654,                 0.4964,                0.55356,                0.35494,                 1.3204,                 2.2175,                 1.8186,             0.00033683,             0.00033683,             0.00033683
                     28,                 1.0699,                  1.591,                 1.4081,                 0.5493,                 0.5364,                0.56019,                0.35233,                 1.3894,                 2.1465,                  1.876,             0.00032363,             0.00032363,             0.00032363
                     29,                 1.0182,                 1.5166,                 1.3524,                0.60845,                0.53768,                 0.6139,                 0.3836,                 1.3484,                  2.054,                 1.8319,             0.00031042,             0.00031042,             0.00031042
                     30,                0.98316,                 1.4579,                  1.312,                0.78545,                0.49461,                0.60179,                0.39022,                 1.2929,                 2.0858,                 1.7544,             0.00029722,             0.00029722,             0.00029722
                     31,                 1.0317,                 1.4978,                 1.3973,                0.66424,                0.51901,                0.61139,                0.39172,                 1.3076,                 2.0738,                 1.7545,             0.00028401,             0.00028401,             0.00028401
                     32,                0.95361,                 1.4578,                 1.3025,                0.54733,                0.57875,                0.59253,                0.40451,                 1.2484,                 2.0012,                  1.717,              0.0002708,              0.0002708,              0.0002708
                     33,                0.99516,                 1.4293,                 1.3152,                0.65758,                0.54092,                0.63097,                0.42752,                 1.2533,                 1.9425,                 1.7114,              0.0002576,              0.0002576,              0.0002576
                     34,                0.99083,                 1.4257,                 1.3069,                0.62225,                0.59103,                 0.6302,                0.39791,                 1.3129,                 1.9915,                 1.7724,             0.00024439,             0.00024439,             0.00024439
                     35,                0.95897,                 1.3805,                 1.3039,                0.65577,                0.61314,                0.62234,                0.39931,                 1.3276,                 1.9835,                 1.7833,             0.00023118,             0.00023118,             0.00023118
                     36,                0.94159,                 1.3139,                 1.2725,                0.64384,                0.60953,                0.64823,                0.41248,                 1.3566,                 1.9271,                 1.8213,             0.00021798,             0.00021798,             0.00021798
                     37,                0.94855,                  1.308,                 1.2897,                0.63311,                0.64042,                0.65269,                0.42569,                 1.3049,                 1.8441,                 1.7608,             0.00020477,             0.00020477,             0.00020477
                     38,                0.96146,                 1.3769,                 1.3129,                0.61146,                0.57222,                0.62059,                0.40206,                 1.3488,                  2.051,                 1.8098,             0.00019156,             0.00019156,             0.00019156
                     39,                0.96381,                 1.3209,                 1.3091,                0.62385,                0.58531,                0.64949,                0.41201,                 1.3563,                 1.9464,                  1.796,             0.00017836,             0.00017836,             0.00017836
                     40,                0.94504,                 1.3315,                 1.2984,                 0.6539,                0.55855,                0.63596,                 0.4199,                 1.3024,                  1.892,                 1.7562,             0.00016515,             0.00016515,             0.00016515
                     41,                0.81388,                 1.2333,                 1.2556,                0.57568,                0.58822,                0.61827,                0.40311,                 1.3647,                 2.0446,                 1.8098,             0.00015194,             0.00015194,             0.00015194
                     42,                0.86901,                 1.3043,                 1.3278,                 0.6695,                0.61339,                0.66437,                 0.4435,                 1.2992,                 1.8981,                 1.7524,             0.00013874,             0.00013874,             0.00013874
                     43,                0.85294,                 1.1789,                 1.3342,                0.68996,                0.61447,                0.68366,                0.46219,                 1.2868,                 1.9301,                 1.7445,             0.00012553,             0.00012553,             0.00012553
                     44,                0.81844,                 1.2052,                 1.2442,                0.66524,                0.64059,                0.67697,                0.45394,                 1.2803,                 1.9236,                 1.7317,             0.00011232,             0.00011232,             0.00011232
                     45,                 0.7536,                 1.0419,                 1.2189,                 0.7223,                0.63191,                0.69228,                0.45878,                 1.2839,                 1.8943,                 1.7257,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     46,                0.78022,                 1.0967,                 1.2373,                0.67176,                0.60237,                0.68192,                0.46488,                 1.2716,                 1.8795,                 1.7033,              8.591e-05,              8.591e-05,              8.591e-05
                     47,                0.79777,                 1.0781,                 1.2582,                0.67581,                0.61062,                 0.6889,                 0.4652,                 1.2651,                 1.8689,                 1.6965,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     48,                0.77004,                 1.1327,                 1.2238,                0.67504,                0.63515,                0.68839,                0.46601,                 1.2463,                 1.8183,                 1.6902,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     49,                0.70492,                 1.0236,                 1.2101,                0.72046,                0.61578,                0.69638,                0.47942,                 1.2439,                 1.8313,                 1.6849,              4.629e-05,              4.629e-05,              4.629e-05
                     50,                0.77364,                 1.0721,                 1.2442,                0.71371,                0.61155,                0.69641,                0.47982,                 1.2549,                 1.8153,                 1.6932,             3.3083e-05,             3.3083e-05,             3.3083e-05
